,yearstart,yearend,locationabbr,topic,question,datavaluetype,datavalue,stratificationcategory1,stratification1
852121,10.0,9.0,26.0,10.0,16.0,7.0,,2.0,8.0
927793,13.0,12.0,33.0,1.0,129.0,2.0,24.5,2.0,10.0
906812,13.0,12.0,32.0,11.0,120.0,7.0,34.1,2.0,7.0
482143,5.0,4.0,18.0,12.0,147.0,7.0,65.0,2.0,5.0
48908,3.0,6.0,28.0,3.0,89.0,4.0,0.1,2.0,0.0
596825,8.0,7.0,5.0,13.0,5.0,7.0,10.1,0.0,6.0
1085640,7.0,6.0,45.0,7.0,158.0,7.0,,2.0,8.0
224484,2.0,1.0,24.0,5.0,116.0,8.0,80.7,0.0,6.0
1161126,3.0,2.0,53.0,2.0,15.0,7.0,,2.0,3.0
88575,2.0,5.0,4.0,3.0,86.0,4.0,130.9,0.0,4.0
1087199,4.0,3.0,45.0,14.0,52.0,7.0,23.8,2.0,3.0
453512,9.0,8.0,54.0,7.0,73.0,12.0,,1.0,9.0
386128,8.0,7.0,35.0,4.0,70.0,3.0,26.62,1.0,9.0
403738,5.0,4.0,2.0,4.0,72.0,12.0,4023.0,0.0,4.0
90872,7.0,10.0,52.0,3.0,31.0,6.0,638.0,1.0,9.0
481017,2.0,1.0,16.0,12.0,71.0,3.0,,2.0,1.0
189552,3.0,6.0,9.0,3.0,91.0,4.0,17.4,0.0,4.0
887780,5.0,4.0,29.0,2.0,78.0,2.0,50.8,1.0,9.0
1075229,4.0,3.0,44.0,14.0,159.0,7.0,,2.0,5.0
750346,8.0,7.0,18.0,6.0,151.0,2.0,8.8,0.0,6.0
470957,7.0,6.0,52.0,11.0,35.0,7.0,,0.0,4.0
446544,9.0,8.0,11.0,7.0,73.0,8.0,,2.0,0.0
460490,7.0,6.0,44.0,7.0,73.0,3.0,,0.0,4.0
30457,7.0,6.0,54.0,0.0,33.0,8.0,,2.0,3.0
591124,11.0,10.0,4.0,10.0,169.0,10.0,3.8,1.0,9.0
859915,6.0,5.0,27.0,2.0,83.0,7.0,67.0,0.0,4.0
158806,6.0,9.0,28.0,3.0,25.0,4.0,13.3,1.0,9.0
439996,9.0,8.0,8.0,7.0,73.0,8.0,,2.0,0.0
22686,2.0,1.0,22.0,0.0,128.0,13.0,2.5,1.0,9.0
902807,9.0,8.0,30.0,16.0,135.0,2.0,,2.0,8.0
503094,11.0,10.0,7.0,13.0,160.0,7.0,39.3,2.0,5.0
838225,3.0,2.0,25.0,14.0,170.0,10.0,,2.0,10.0
705828,10.0,9.0,15.0,0.0,20.0,1.0,,2.0,7.0
897741,7.0,6.0,30.0,1.0,12.0,2.0,26.3,2.0,8.0
523869,11.0,10.0,51.0,15.0,55.0,7.0,18.7,2.0,7.0
837633,13.0,12.0,26.0,14.0,168.0,1.0,2.7,1.0,9.0
1017929,3.0,2.0,40.0,2.0,78.0,2.0,21.5,1.0,9.0
1179496,5.0,4.0,54.0,4.0,77.0,2.0,18.9,0.0,6.0
487741,6.0,5.0,29.0,12.0,147.0,7.0,,2.0,1.0
1028198,8.0,7.0,41.0,4.0,131.0,7.0,,2.0,7.0
982074,12.0,11.0,36.0,2.0,15.0,7.0,,2.0,5.0
858490,9.0,8.0,26.0,11.0,117.0,7.0,33.2,1.0,9.0
621539,3.0,2.0,7.0,7.0,158.0,2.0,,2.0,8.0
300195,7.0,6.0,43.0,6.0,67.0,12.0,,2.0,1.0
413432,10.0,9.0,54.0,4.0,65.0,12.0,,2.0,5.0
333327,2.0,1.0,18.0,4.0,109.0,3.0,116.4,2.0,3.0
684865,5.0,4.0,12.0,6.0,149.0,2.0,45.1,2.0,8.0
1074474,9.0,8.0,44.0,14.0,159.0,7.0,65.0,2.0,5.0
902516,3.0,2.0,30.0,0.0,62.0,7.0,7.3,2.0,10.0
752687,6.0,5.0,18.0,13.0,118.0,7.0,73.8,2.0,5.0
365721,7.0,6.0,15.0,4.0,108.0,8.0,54.0,2.0,10.0
791226,10.0,9.0,21.0,1.0,12.0,2.0,17.2,2.0,5.0
716998,7.0,6.0,16.0,1.0,177.0,7.0,,2.0,8.0
835517,10.0,9.0,24.0,7.0,84.0,2.0,,2.0,3.0
747452,13.0,12.0,18.0,2.0,78.0,7.0,38.7,2.0,10.0
987027,5.0,4.0,38.0,6.0,148.0,7.0,,2.0,8.0
571760,7.0,6.0,4.0,1.0,177.0,7.0,20.0,2.0,8.0
802351,3.0,2.0,22.0,6.0,151.0,7.0,,2.0,5.0
